,,Day 1 (Mon),,,,,Day 2 (Fri),,,,,,,
March,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Primary/Horizontal,Date,,Session Length,Completed,,Date: ,,Session Length,Completed,,,,,
Goblet Squat to Box,3/24/2026,,60min,,,3/26/2026,,60min,,,,,,
Hinge,,SETS,REPS,LOAD,,MOVEMENT,SETS,REPS,LOAD,,,,,
Lunge,WARM UP,,,,,WARM UP,,,,,,,,
Push Horizontal,FR - T Spine,1,60s,na,,FR - T Spine,1,60s,na,,,,,
Pull Horizontal,Cat/Cow,1,10,na,,Cat/Cow,1,10,na,,,,,
OH Carry,90/90,1,10,na,,90/90,1,10,na,,,,,
Supermans,Half Kneeling - Rot.,1,10,na,,Leg Lift to Rotation,,,,,,,,
,WORKING SETS: STRENGTH,,,,,WORKING SETS: STRENGTH,,,,,,,,
,Lat Pull Down - SA,3,10ea,25lbs,,Bench Press - DB,3,8-10,25,,,,,
Supplement/Vertical,Strict Shoulder Press,3,10,12.5lbs,,Soft Tissue -Trap,2,60s Ea,,,,,,
Squat Sup,DB RDLs,3,10,30lbs,,Reverse Lunge,3,6ea,,,,,,
Bridge Walk Outs,,,,,,,,,,,,,,
Lunge Sup,WORKING SETS: STRENGTH ,,,,,WORKING SETS: STRENGTH ,,,,,,,,
Push Vertical,Slight Incline Press - DB,3,10,12.5lbs,,Bridge Walk Outs,3,10,,,,,,
Pull Vertical,Low Cable Row,3,10ea,22lbs,,Tricep Extension - SA,3,8ea,,,,,,
Planks,- SA,,,,,Pallof Hold,3,30s Ea,,,,,,
Cardio,Cable Curl,3,12,15lbs,,,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,WORKING SETS: AUXILIARY,,,,,,,,
Additional,,,,,,,,,,,,,,
Mobility,,,,,,,,,,,,,,
Olympic Lifts,,,,,,,,,,,,,,
Stability,,,,,,,,,,,,,,
Sets,CARDIO,,,,,CARDIO,,,,,,,,
Reps,,,,,, ,,,,,,,,
Tempos,,,,,,,,,,,,,,
Weight,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Primary/Horizontal,Date,,Session Length,Completed,,,,,,,,,,
Goblet Squat to Box,3/31/2026,,60min,,,,,,,,,,,
Hinge,MOVEMENT,SETS,REPS,LOAD,,,,,,,,,,
Lunge,WARM UP,,,,,,,,,,,,,
Push Horizontal,FR - T Spine,1,60s,na,,,,,,,,,,
Pull Horizontal,90/90,1,10,na,,,,,,,,,,
OH Carry,Half Kneeling - Rot.,1,10,na,,,,,,,,,,
Tricep Pushdown,,,,,,,,,,,,,,
,WORKING SETS: STRENGTH,,,,,,,,,,,,,
,Chest Slam,3,6,10lbs,,,,,,,,,,
Supplement/Vertical,Floor Press,2,10,15,,,,,,,,,,
Squat Sup,Lateral Step Up,3,7-8ea,12.5,,,,,,,,,,
Hinge Sup,,,,,,,,,,,,,,
Lunge Sup,WORKING SETS: STRENGTH ,,,,,,,,,,,,,
Push Vertical,High Plank Shoulder Taps,3,30s,bw,,,,,,,,,,
Pull Vertical,Sumo Deadlift,3,8,30lbs,,,,,,,,,,
Planks,Z Press,3,10ea,4kg,,,,,,,,,,
Cardio,,,,,,,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,,,,,,,,,
Additional,Glute Kickbacks - Cable,2,15ea,8-16.5lbs,,,,,,,,,,
Mobility,DB Hammer Curl,2,10,9lbs,,,,,,,,,,
Olympic Lifts,,,,,,,,,,,,,,
Stability,,,,,,,,,,,,,,
Sets,CARDIO,,,,,,,,,,,,,
Reps,,,,,,,,,,,,,,
Tempos,,,,,,,,,,,,,,
Weight,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,
April,,April,,,,,,,,,,,,
,,,,,,,,,,,,,,
Primary/Horizontal,Date: ,,Session Length,Completed,,,,,,,,,,
Goblet Squat to Box,4/2/2026,,60min,,,,,,,,,,,
Hinge,MOVEMENT,SETS,REPS,LOAD,,,,,,,,,,
Lunge,WARM UP,,,,,,,,,,,,,
Push Horizontal,FR - T Spine,1,60s,na,,,,,,,,,,
Pull Horizontal,90/90,1,10,na,,,,,,,,,,
OH Carry,Half Kneeling - Rot.,1,10,na,,,,,,,,,,
Tricep Pushdown,,,,,,,,,,,,,,
,WORKING SETS: STRENGTH,,,,,,,,,,,,,
,Lat Pull Down - SA,3,8-10,20lbs,,,,,,,,,,
Supplement/Vertical,Walking Lunges,3,7ea,BW,,,,,,,,,,
Squat Sup,Elbow Plank,3,30s,,,,,,,,,,,
Hinge Sup,,,,,,,,,,,,,,
Lateral Split Squat,WORKING SETS: STRENGTH ,,,,,,,,,,,,,
Push Vertical,Mini Band Glute Med Drills,3,10ea,,,,,,,,,,,
Pull Vertical,Rower,3,45s,,,,,,,,,,,
Planks,Farmer's Carry,3,45s,,,,,,,,,,,
Cardio,,,,,,,,,,,,,,
,WORKING SETS: AUXILIARY,,,,,,,,,,,,,
Additional,Glute Kickbacks - Cable,2,15ea,8-16.5lbs,,,,,,,,,,
Mobility,,,,,,,,,,,,,,
Olympic Lifts,,,,,,,,,,,,,,
Stability,,,,,,,,,,,,,,
Sets,CARDIO,,,,,,,,,,,,,
Reps,,,,,,,,,,,,,,
Tempos,,,,,,,,,,,,,,
Weight,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Date,,Session Length,Completed,,Date: ,,Session Length,Completed,,,,,
,4/7/2026,,60min,,,4/14/2026,,60min,,,,,,
,MOVEMENT,SETS,REPS,LOAD,,MOVEMENT,SETS,REPS,LOAD,,,,,
,WARM UP,,,,,WARM UP,,,,,,,,
,FR - T Spine,1,60s,na,,FR - T Spine,1,60s,na,,,,,
,90/90,1,10,na,,90/90,1,10,na,,,,,
,Half Kneeling - Rot.,1,10,na,,Half Kneeling - Rot.,1,10,na,,,,,
,,,,,,,,,,,,,,
,WORKING SETS: STRENGTH,,,,,WORKING SETS: STRENGTH,,,,,,,,
,Assisted Pull-Up,3,4,100,,DB Alt Shoulder Press,3,8ea,12.5lbs,,,,,
,Bench Press - DB,2,10,15,,Hex Bar Squat,3,8-10,95,,,,,
,Walking Lunges,3,7-10ea,10lbs,,High Plank Shoulder Taps,3,30s,,,,,,
,,,,,,,,,,,,,,
,WORKING SETS: STRENGTH ,,,,,WORKING SETS: STRENGTH ,,,,,,,,
,Physio Ball Curls,3,10,95,,,,,,,,,,
,Tricep Pushdown,3,10,35,,Curtsy Lunges,2,7ea,15lbs,,,,,
,Y's and A's,3,8-10,BW,,- Lateral Step Up,,,,,,,,
,,,,,,Alt Gorilla Row,2,8ea,25lbs,,  ,,,
,WORKING SETS: AUXILIARY,,,,,WORKING SETS: AUXILIARY,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,CARDIO,,,,,CARDIO,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Date: ,,Session Length,Completed,,,,,
,,,,,,4/23/2026,,60min,,,,,,
,,,,,,MOVEMENT,SETS,REPS,LOAD,,,,,
,,,,,,WARM UP,,,,,,,,
,,,,,,Foam Roll - T Spine,1,60s,na,,,,,
,,,,,,90/90,1,10,na,,,,,
,,,,,,Sit ups,1,10,na,,,,,
,,,,,,,,,,,,,,
,,,,,,WORKING SETS: STRENGTH,,,,,,,,
,,,,,,Lat Pull Down - SA,3,8-10,20lbs,,,,,
,,,,,,Back Squat,3,8,75lbs,,,,,
,,,,,,Rest,,,60s,,,,,
,,,,,,,,,,,,,,
,,,,,,WORKING SETS: STRENGTH ,,,,,,,,
,,,,,,Slight Incline Press - BB,3,7ea,15,,,,,
,,,,,,- Alt.,,,,,,,,
,,,,,,Tricep Pushdown,3,10,4.5lbs,,,,,
